ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
PTL,Pental Limited,Annual Ratio Analysis - ROE, , , , , , , ,--,-16.26%,-178.57%,-138.58%,38.71%,22.73%,20.08%,21.79%,25.24%,15.88%,0.26%,11.95%,12.69%,11.63%,9.11%,-3.57%,3.75%,6.76%,7.43%
PTL,Pental Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,"59,708,000.00",--,--,0.00,"38,923,000.00","75,804,000.00","88,507,000.00","118,402,000.00","125,331,000.00","113,371,000.00","131,263,000.00","160,649,000.00","149,646,000.00","147,183,000.00","166,397,000.00","161,511,000.00","108,273,000.00","109,376,000.00","81,163,000.00"
PTL,Pental Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,0.00,"-862,511.00","-3,401,356.00","-3,861,575.00","5,760,000.00","7,005,000.00","7,313,000.00","9,051,000.00","12,260,000.00","7,735,000.00","131,000.00","8,023,000.00","9,444,000.00","9,666,000.00","5,455,000.00","-60,669,000.00","1,893,000.00","5,336,000.00","5,087,000.00"
PTL,Pental Limited,Annual Balance Sheet - Total Equity, , , , , , , ,--,--,"1,904,763.00","2,786,588.00","29,760,000.00","32,391,000.00","38,082,000.00","41,542,000.00","48,569,000.00","45,083,000.00","49,568,000.00","67,132,000.00","74,405,000.00","83,131,000.00","107,667,000.00","44,991,000.00","62,082,000.00","73,015,000.00","81,734,000.00"
PTL,Pental Limited,Annual Balance Sheet - Total Assets, , , , , , , ,--,--,"2,094,384.00","3,186,931.00","54,237,000.00","73,672,000.00","104,568,000.00","112,248,000.00","115,338,000.00","130,471,000.00","142,686,000.00","142,682,000.00","139,057,000.00","141,320,000.00","204,031,000.00","136,461,000.00","93,004,000.00","90,271,000.00","98,819,000.00"
SBE,Sabre Group Limited,Annual Ratio Analysis - ROE, , , , ,--,16.28%,11.60%,22.39%,23.50%,23.78%,21.93%,22.14%,25.04%, , , , , , , , , , , , , 
SBE,Sabre Group Limited,Annual Profit and Loss - Operating Revenue, , , , ,--,"21,937,000.00","25,384,990.00","32,063,676.00","36,437,664.00","46,808,877.00","51,918,227.00","61,462,662.00","58,848,000.00", , , , , , , , , , , , , 
SBE,Sabre Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , ,0.00,"1,689,000.00","1,233,115.00","2,789,573.00","3,260,688.00","4,673,565.00","4,709,000.00","5,273,056.00","4,036,000.00", , , , , , , , , , , , , 
SBE,Sabre Group Limited,Annual Balance Sheet - Total Equity, , , , ,--,"10,377,000.00","10,864,649.00","12,458,409.00","13,874,663.00","19,655,103.00","21,531,117.00","24,016,172.00","24,541,000.00", , , , , , , , , , , , , 
SBE,Sabre Group Limited,Annual Balance Sheet - Total Assets, , , , ,"3,797,000.00","14,693,000.00","15,606,783.00","18,139,792.00","21,834,453.00","31,175,039.00","35,465,217.00","39,666,249.00","38,449,000.00", , , , , , , , , , , , , 
VIT,Vitaco Holdings Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%
VIT,Vitaco Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , , ,--
VIT,Vitaco Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00
VIT,Vitaco Holdings Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , , ,"133,900,000.00"
VIT,Vitaco Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , , ,"203,800,000.00"
