ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AAS,Asian Pacific Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , ,"1,339,900.00","1,926,000.00","-5,071,000.00","1,157,000.00","5,616,891.00","4,687,000.00","2,292,996.00","125,124.00", , , , , , , , , 
AAS,Asian Pacific Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"2,496,172.00","10,445,000.00","2,321,000.00","3,369,000.00","5,531,902.00","4,662,000.00","3,204,261.00","12,139,068.00", , , , , , , , , 
AAS,Asian Pacific Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"4,631,896.00","13,963,000.00","7,460,000.00","5,698,000.00","9,312,261.00","7,408,000.00","5,954,873.00","20,279,974.00", , , , , , , , , 
AAT,AAT Corporation Limited,Annual Ratio Analysis - ROE,21.31%,0.82%,-12.01%,-8.10%,23.05%,17.04%,1.21%,-5.37%,-26.70%,32.25%,16.83%,27.98%,-10.58%,6.60%,13.01%,8.79%,-6.09%,-527.30%,114.07%,-86.35%, , ,2.78%,18.10%,300.48%,71.57%, 
AAT,AAT Corporation Limited,Annual Profit and Loss - Operating Revenue,"24,414,000.00","16,764,000.00","17,252,000.00","18,017,000.00","20,315,000.00","23,104,000.00","21,939,256.00","23,945,000.00","16,846,908.00","35,176,236.00","50,008,114.00","170,226,000.00","152,893,000.00","169,341,000.00","197,553,000.00","195,503,000.00","262,846,000.00","21,867,000.00","241,352,000.00","371,434,000.00", , ,0.00,--,0.00,0.00, 
AAT,AAT Corporation Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"1,970,000.00","29,000.00","-1,317,000.00","-719,000.00","1,687,000.00","1,612,000.00","981,936.00","-334,000.00","-930,193.00","4,208,014.00","5,792,350.00","14,022,000.00","-16,973,000.00","11,452,000.00","14,768,000.00","3,427,000.00","-4,607,000.00","-97,746,000.00","11,496,000.00","-8,318,000.00", , ,"14,718,680.00","-729,527.00","3,241,307.00","-257,123.00", 
AAT,AAT Corporation Limited,Annual Balance Sheet - Total Equity,"8,805,000.00","8,791,000.00","7,017,000.00","5,832,000.00","6,850,000.00","7,382,000.00","6,779,765.00","6,598,000.00","5,177,569.00","12,900,772.00","35,141,920.00","67,474,000.00","49,220,000.00","80,953,000.00","96,464,000.00","91,592,000.00","93,320,000.00","4,996,000.00","23,730,000.00","22,839,000.00", , ,"-3,297,977.00","-4,031,169.00","-107,807.00","-364,930.00", 
AAT,AAT Corporation Limited,Annual Balance Sheet - Total Assets,"14,427,000.00","12,649,000.00","13,252,000.00","12,451,000.00","15,181,000.00","14,347,000.00","11,634,728.00","12,336,000.00","8,721,865.00","26,681,919.00","65,987,044.00","119,874,000.00","133,102,000.00","170,564,000.00","239,481,000.00","267,760,000.00","297,851,000.00","62,282,000.00","117,271,000.00","134,011,000.00", , ,"44,315.00","3,148.00","76,696.00","337,681.00", 
AB1,Animoca Brands Corporation Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,-15.51%,-26.58%,-63.45%,-23.33%,-36.57%,-17.53%,-67.76%,74.95%,-166.19%, 
AB1,Animoca Brands Corporation Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , ,--,--,0.00,--,--,0.00,0.00,0.00,"7,544,457.00", 
AB1,Animoca Brands Corporation Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , ,"-520,927.00","-842,007.00","-1,229,802.00","-1,314,284.00","-1,750,373.00","-2,478,116.00","-2,747,491.00","-3,138,247.00","-2,934,459.00", 
AB1,Animoca Brands Corporation Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , ,"3,358,210.00","3,167,932.00","1,938,130.00","5,633,102.00","4,786,041.00","6,672,040.00","3,908,625.00","1,520,542.00","1,765,773.00", 
AB1,Animoca Brands Corporation Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , ,"3,401,108.00","3,233,291.00","1,971,070.00","5,684,386.00","4,893,065.00","6,880,276.00","4,077,039.00","2,312,642.00","7,612,604.00", 
ACU,Activistic Limited,Annual Ratio Analysis - ROE,-12.01%,-233.50%,34.32%,-15.59%,-28.08%,-22.38%,-2.69%,-12.55%,-17.63%,-18.83%,-33.14%,-22.61%,-15.96%,-28.75%,-168.34%,-119.34%,-253.16%,-185.63%,-217.67%,-640.77%,684.37%,-64.06%,-75.43%,"-1,683.79%",136.13%,-126.97%, 
ACU,Activistic Limited,Annual Profit and Loss - Operating Revenue,"14,574,000.00","12,066,000.00","713,000.00",0.00,0.00,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,"27,727.00","66,355.00","70,511.00","2,445,944.00","4,545.00",0.00,0.00,--,--,"7,246.00","9,297.00",0.00, 
ACU,Activistic Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-1,680,000.00","-2,377,000.00","532,000.00","-209,000.00","-294,000.00","52,000.00","-28,747.00","-119,258.00","-685,090.00","-652,875.00","-1,140,119.00","-1,939,008.00","-701,045.00","-3,156,099.00","-7,060,088.00","-9,799,997.00","-14,649,223.00","-7,646,701.00","-3,040,676.00","-2,660,485.00","-1,841,142.00","-609,043.00","-523,741.00","-965,711.00","-859,019.00","-4,889,000.00", 
ACU,Activistic Limited,Annual Balance Sheet - Total Equity,"13,986,000.00","1,018,000.00","1,550,000.00","1,341,000.00","1,047,000.00","1,099,000.00","1,069,835.00","950,577.00","2,731,228.00","3,467,390.00","3,440,225.00","3,709,785.00","5,615,926.00","4,177,205.00","2,424,116.00","8,211,510.00","7,048,398.00","4,829,287.00","1,483,734.00","446,370.00","-269,026.00","950,698.00","767,245.00","109,025.00","-579,994.00","3,890,479.00", 
ACU,Activistic Limited,Annual Balance Sheet - Total Assets,"21,507,000.00","6,881,000.00","2,887,000.00","1,909,000.00","1,611,000.00","1,742,000.00","1,347,474.00","1,104,956.00","2,823,164.00","3,626,689.00","3,542,207.00","3,942,382.00","5,875,469.00","4,558,538.00","2,988,533.00","14,003,089.00","13,156,367.00","6,905,064.00","2,212,829.00","1,157,960.00","54,265.00","1,048,483.00","800,815.00","362,435.00","233,808.00","4,102,561.00", 
ACX,Aconex Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,-30.45%, 
ACX,Aconex Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,"82,447,000.00", 
ACX,Aconex Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"11,563,000.00", 
ACX,Aconex Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"-34,400,000.00","-37,968,000.00", 
ACX,Aconex Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"53,700,000.00","67,004,000.00", 
AD1,ApplyDirect Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%, 
AD1,ApplyDirect Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , , ,--, 
AD1,ApplyDirect Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, 
AD1,ApplyDirect Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , , ,"7,127,210.00", 
AD1,ApplyDirect Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , , ,"8,951,609.00", 
ADA,Adacel Technologies Limited,Annual Ratio Analysis - ROE, , , , , , , , ,6.10%,7.44%,2.84%,2.09%,2.07%,-10.51%,-226.84%,-141.18%,40.06%,17.90%,14.69%,37.17%,-18.29%,-42.13%,39.52%,7.02%,-26.09%,30.52%, 
ADA,Adacel Technologies Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , ,"12,925,300.00","15,010,000.00","30,820,000.00","54,670,000.00","71,356,000.00","92,724,000.00","55,576,000.00","37,195,000.00","52,290,000.00","34,804,000.00","37,625,000.00","55,159,000.00","46,368,000.00","74,494,000.00","38,538,000.00","31,258,000.00","33,113,000.00","41,914,000.00", 
ADA,Adacel Technologies Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , ,"1,894,841.00","2,546,000.00","1,649,000.00","-27,467,000.00","-11,828,000.00","-3,668,000.00","-23,451,000.00","-9,150,000.00","4,939,000.00","2,572,000.00","1,810,000.00","6,796,000.00","-2,912,000.00","-2,960,000.00","4,402,000.00","810,000.00","-2,287,000.00","3,933,000.00", 
ADA,Adacel Technologies Limited,Annual Balance Sheet - Total Equity, , , , , , , , ,"31,039,417.00","34,201,000.00","58,138,000.00","42,143,000.00","32,393,000.00","34,911,000.00","10,338,000.00","6,481,000.00","12,329,000.00","14,368,000.00","12,324,000.00","18,285,000.00","15,920,000.00","7,026,000.00","11,140,000.00","11,531,000.00","8,765,000.00","13,148,000.00", 
ADA,Adacel Technologies Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"33,942,067.00","39,374,000.00","69,484,000.00","63,795,000.00","51,380,000.00","63,091,000.00","39,034,000.00","24,528,000.00","28,994,000.00","23,176,000.00","23,344,000.00","29,602,000.00","28,919,000.00","19,558,000.00","24,784,000.00","23,312,000.00","19,593,000.00","27,605,000.00", 
ADJ,Adslot Ltd,Annual Ratio Analysis - ROE, , , , , , ,"-2,792.12%",10.72%,-17.20%,-155.64%,-185.47%,-280.90%,-41.63%,-71.70%,-210.67%,"1,105.38%",-408.38%,-21.45%,-178.44%,-258.74%,-35.67%,-36.82%,-34.70%,-42.17%,-27.14%,-26.34%, 
ADJ,Adslot Ltd,Annual Profit and Loss - Operating Revenue, , , , , , ,0.00,0.00,0.00,"9,839,771.00","1,866,175.00","3,032,990.00","1,838,197.00","464,490.00","1,127,113.00","2,067,424.00","1,636,198.00","8,317,782.00","12,157,447.00","21,602,844.00","5,341,143.00","4,445,771.00","3,790,879.00","3,529,191.00","4,826,793.00","6,300,208.00", 
ADJ,Adslot Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , ,"510,149.00","170,429.00","-1,469,041.00","-4,682,885.00","-2,894,396.00","-2,652,373.00","196,083.00","-807,953.00","-3,898,174.00","-8,400,199.00","-4,291,172.00","-1,333,349.00","-6,720,666.00","-4,150,364.00","-4,218,601.00","-10,341,829.00","-7,331,658.00","-6,460,947.00","-10,095,562.00","-9,205,521.00", 
ADJ,Adslot Ltd,Annual Balance Sheet - Total Equity, , , , , , ,"-37,805.00","2,298,350.00","5,824,587.00","1,120,841.00","848,384.00","846,395.00","2,042,534.00","1,731,624.00","450,040.00","-872,636.00","1,057,198.00","6,217,520.00","3,766,391.00","1,604,046.00","11,827,226.00","28,088,371.00","21,130,607.00","15,320,252.00","37,193,216.00","34,948,447.00", 
ADJ,Adslot Ltd,Annual Balance Sheet - Total Assets, , , , , , ,"1,980,196.00","3,292,378.00","19,566,363.00","17,649,472.00","17,579,574.00","5,257,456.00","4,434,157.00","4,088,644.00","3,420,893.00","1,321,938.00","2,304,585.00","11,938,697.00","6,674,875.00","6,322,016.00","14,286,323.00","30,840,715.00","23,358,483.00","17,043,218.00","41,017,469.00","39,274,700.00", 
AER,Aeeris Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,-17.31%, 
AER,Aeeris Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,"971,979.00", 
AER,Aeeris Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"-722,216.00", 
AER,Aeeris Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"4,748,096.00","4,173,080.00", 
AER,Aeeris Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"4,877,429.00","4,417,301.00", 
AFY,Afterpay Holdings Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%, 
AFY,Afterpay Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , , ,--, 
AFY,Afterpay Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, 
AFY,Afterpay Holdings Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , , ,"39,880,000.00", 
AFY,Afterpay Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , , ,"40,008,000.00", 
AHL,AHAlife Holdings Limited,Annual Ratio Analysis - ROE, , , , , , , ,-5.94%,-3.58%,-4.88%,-8.52%,-11.89%,-24.91%,-35.24%,-58.88%,-152.03%, ,-14.83%,-47.45%,-249.00%,-67.99%,-81.23%,-68.93%, ,30.48%,400.06%, 
AHL,AHAlife Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,0.00,0.00,0.00,0.00,"44,795.00","11,376.00","250,771.00","592,692.00","758,464.00", ,"1,753,145.00","2,818,311.00","3,337,888.00","5,776,599.00","3,162,102.00","3,472,657.00", ,0.00,--, 
AHL,AHAlife Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,"-903,131.00","-526,509.00","-4,151,687.00","740,100.00","-11,222,934.00","-19,413,846.00","-19,146,409.00","-19,134,611.00","-24,013,450.00", ,"-2,867,412.00","-13,431,980.00","-6,806,073.00","-3,247,123.00","-3,084,423.00","-2,347,187.00", ,"2,798,752.00","-1,858,800.00", 
AHL,AHAlife Holdings Limited,Annual Balance Sheet - Total Equity, , , , , , , ,"15,209,762.00","14,683,254.00","10,416,973.00","11,157,073.00","64,994,139.00","59,028,330.00","45,262,373.00","30,427,804.00","11,243,058.00", ,"9,728,381.00","6,780,541.00","2,262,558.00","4,775,670.00","3,797,301.00","3,405,066.00", ,"-422,565.00","-452,134.00", 
AHL,AHAlife Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , ,"15,305,817.00","15,164,439.00","10,908,621.00","11,666,813.00","66,629,125.00","59,411,165.00","48,588,889.00","33,231,548.00","13,195,066.00", ,"12,994,618.00","14,348,527.00","6,565,941.00","8,528,848.00","5,639,569.00","5,744,209.00", ,"1,215,010.00","678,860.00", 
ALA,Applabs Technologies Ltd ,Annual Ratio Analysis - ROE,-6.95%,-54.56%,-89.61%,-204.94%,84.41%,5.78%,5.17%,5.49%,8.27%,-10.64%,2.08%, , , , , , , , ,0.00%,-461.56%,-62.99%,179.50%,-386.99%,-27.87%,-45.26%, 
ALA,Applabs Technologies Ltd ,Annual Profit and Loss - Operating Revenue,"12,443,000.00","17,013,000.00","22,011,000.00","25,352,000.00","30,187,000.00","30,950,000.00","35,012,000.00","41,962,000.00","86,709,000.00","94,292,000.00",0.00, , , , , , , , ,--,"88,517,000.00","81,580,000.00","3,425,000.00","70,721.00","185,723.00",0.00, 
ALA,Applabs Technologies Ltd ,Annual Profit and Loss - Reported NPAT After Abnorma,"-2,912,000.00","-5,803,000.00","-6,228,000.00","-1,619,000.00","834,000.00","11,373,000.00","1,744,000.00","2,079,000.00","3,082,000.00","-21,256,000.00","750,000.00", , , , , , , , ,0.00,"-4,071,000.00","-953,000.00","-8,178,000.00","5,210,329.00","-1,898,960.00","-2,599,302.00", 
ALA,Applabs Technologies Ltd ,Annual Balance Sheet - Total Equity,"16,439,000.00","10,636,000.00","4,408,000.00","790,000.00","988,000.00","31,540,000.00","33,748,000.00","37,056,000.00","56,592,000.00","35,336,000.00","36,086,000.00", , , , , , , , ,"6,931.00","882,000.00","1,513,000.00","-4,556,000.00","654,228.00","6,832,865.00","4,014,656.00", 
ALA,Applabs Technologies Ltd ,Annual Balance Sheet - Total Assets,"53,688,000.00","51,412,000.00","57,191,000.00","53,884,000.00","54,397,000.00","57,464,000.00","63,475,000.00","62,944,000.00","145,614,000.00","108,136,000.00","133,922,000.00", , , , , , , , ,"61,707.00","31,717,000.00","66,589,000.00","38,701,000.00","984,758.00","6,994,213.00","4,078,804.00", 
ALU,Altium Limited,Annual Ratio Analysis - ROE, , , , , , , , ,82.70%,81.59%,10.28%,9.29%,2.88%,-5.46%,-79.15%,-3.00%,3.82%,3.24%,-11.95%,6.13%,-133.47%,-141.14%,77.38%,77.48%,149.10%,75.98%, 
ALU,Altium Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , ,"14,161,276.00","21,293,770.00","32,325,000.00","53,120,000.00","52,045,000.00","46,618,000.00","40,416,000.00","39,955,000.00","44,957,000.00","53,060,000.00","69,735,092.00","62,324,377.00","52,757,245.00","45,015,364.00","54,039,839.00","66,747,169.00","75,021,231.00","104,447,916.00", 
ALU,Altium Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , ,"2,307,769.00","3,810,626.00","8,018,000.00","12,598,000.00","2,253,000.00","-6,976,000.00","-88,020,000.00","-1,091,000.00","1,415,000.00","1,066,000.00","-2,907,749.00","-415,331.00","-12,147,131.00","-6,638,420.00","5,963,104.00","1,472,776.00","11,853,503.00","120,309,895.00", 
ALU,Altium Limited,Annual Balance Sheet - Total Equity, , , , , , , , ,"2,790,630.00","4,942,633.00","78,019,000.00","135,582,000.00","134,555,000.00","127,818,000.00","37,518,000.00","36,427,000.00","37,055,000.00","32,935,000.00","24,326,823.00","21,096,869.00","9,101,255.00","3,934,258.00","8,833,284.00","5,466,307.00","8,058,386.00","158,335,937.00", 
ALU,Altium Limited,Annual Balance Sheet - Total Assets, , , , , , , , ,"4,067,118.00","16,317,912.00","88,532,000.00","156,627,000.00","151,544,000.00","143,221,000.00","51,509,000.00","49,089,000.00","47,627,000.00","49,240,000.00","44,544,982.00","43,106,975.00","32,197,583.00","27,423,410.00","42,774,016.00","50,056,064.00","57,326,963.00","223,401,041.00", 
ALW,Alphawest Limited,Annual Ratio Analysis - ROE,2.33%,-12.85%,2.06%,9.96%,15.29%,17.91%,12.70%,2.59%,10.19%,1.89%,4.35%,6.49%,4.55%,0.52%,-3.26%, , , , , , , , , , , , 
ALW,Alphawest Limited,Annual Profit and Loss - Operating Revenue,"14,289,000.00","10,321,000.00","9,487,000.00","9,673,000.00","12,837,000.00","16,067,000.00","26,892,878.00","21,651,100.00","15,721,014.00","14,201,713.00","7,872,719.00","11,548,341.00","5,388,119.00","40,983.00","110,530,000.00", , , , , , , , , , , , 
ALW,Alphawest Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"135,000.00","-3,331,000.00","502,000.00","312,000.00","507,000.00","803,000.00","689,199.00","-732,518.00","599,635.00","434,345.00","-212,702.00","462,000.00","52,694.00","16,838.00","-764,000.00", , , , , , , , , , , , 
ALW,Alphawest Limited,Annual Balance Sheet - Total Equity,"5,795,000.00","2,482,000.00","2,820,000.00","3,132,000.00","3,315,000.00","3,796,000.00","5,426,344.00","5,608,024.00","5,882,915.00","6,037,535.00","6,917,482.00","7,115,934.00","3,211,010.00","3,227,848.00","15,627,000.00", , , , , , , , , , , , 
ALW,Alphawest Limited,Annual Balance Sheet - Total Assets,"8,932,000.00","5,331,000.00","5,206,000.00","5,590,000.00","7,326,000.00","9,383,000.00","15,233,289.00","10,143,720.00","9,802,899.00","8,059,203.00","8,452,748.00","9,048,594.00","3,251,310.00","3,293,043.00","50,806,000.00", , , , , , , , , , , , 
AMO,Ambertech Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,18.66%,8.81%,13.83%,16.26%,8.89%,8.01%,0.63%,-4.71%,0.11%,-20.63%,-15.69%, 
AMO,Ambertech Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , ,"52,916,000.00","51,465,000.00","59,842,000.00","69,642,000.00","71,526,000.00","66,188,000.00","66,683,000.00","51,355,000.00","54,417,000.00","48,256,000.00","50,135,000.00", 
AMO,Ambertech Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,"3,124,000.00","1,486,000.00","2,575,000.00","3,179,000.00","1,806,000.00","1,606,000.00","126,000.00","-4,693,000.00","-2,212,000.00","-1,000,000.00","-1,654,000.00", 
AMO,Ambertech Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"16,739,000.00","16,868,000.00","18,621,000.00","19,554,000.00","20,312,000.00","20,057,000.00","19,982,000.00","15,305,000.00","13,157,000.00","12,239,000.00","10,539,000.00", 
AMO,Ambertech Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"27,420,000.00","30,889,000.00","29,510,000.00","32,974,000.00","32,653,000.00","31,639,000.00","34,459,000.00","25,461,000.00","28,878,000.00","26,511,000.00","26,280,000.00", 
APX,Appen Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,19.33%, 
APX,Appen Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,"82,643,000.00", 
APX,Appen Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"8,308,000.00", 
APX,Appen Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"15,600,000.00","28,658,000.00", 
APX,Appen Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"23,800,000.00","42,017,000.00", 
ASU,Alpha Technologies Corporation Limited,Annual Ratio Analysis - ROE,-284.42%,-15.51%,-21.22%,-62.51%,-64.69%,0.05%,-13.25%,-82.10%,-12.85%,-37.28%,-17.36%,-81.94%,"-1,019.04%",-18.97%,191.01%,48.63%,49.13%,9.61%,10.80%,-225.19%, , , , , , , 
ASU,Alpha Technologies Corporation Limited,Annual Profit and Loss - Operating Revenue,"4,850,000.00","6,058,000.00","4,855,000.00","2,844,000.00","4,379,000.00","5,088,000.00","4,525,722.00","4,114,074.00","6,159,428.00","7,368,862.00","9,098,886.00","12,682,931.00","12,081,242.00","11,083,975.00","10,496,391.00","12,203,925.00","15,257,623.00","19,932,000.00","18,443,000.00","16,296,000.00", , , , , , , 
ASU,Alpha Technologies Corporation Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-11,647,000.00","-550,000.00","-741,000.00","-1,422,000.00","-863,000.00","1,000.00","-366,868.00","-969,179.00","-745,238.00","-1,988,477.00","-971,556.00","-10,785,758.00","-2,477,865.00","-109,092.00","-238,880.00","1,701,753.00","3,488,573.00","1,080,000.00","1,927,000.00","-13,427,000.00", , , , , , , 
ASU,Alpha Technologies Corporation Limited,Annual Balance Sheet - Total Equity,"4,095,000.00","3,545,000.00","3,492,000.00","2,275,000.00","1,334,000.00","2,209,000.00","2,769,734.00","1,884,433.00","6,750,379.00","5,333,934.00","7,369,390.00","1,619,185.00","243,156.00","575,016.00","478,263.00","3,643,262.00","7,100,510.00","11,240,000.00","17,849,000.00","5,507,000.00", , , , , , , 
ASU,Alpha Technologies Corporation Limited,Annual Balance Sheet - Total Assets,"6,633,000.00","6,676,000.00","6,622,000.00","5,835,000.00","5,142,000.00","5,623,000.00","4,683,177.00","4,473,311.00","8,840,899.00","9,285,273.00","12,227,321.00","8,633,005.00","7,027,097.00","5,858,395.00","5,138,367.00","6,040,445.00","12,815,798.00","20,497,000.00","32,315,000.00","10,635,000.00", , , , , , , 
